method	path	page_keys	action_keys	data_keys
POST	/api/maintenance/acceptance-deliverables/search	page_maintenance		
POST	/api/maintenance/acceptance-deliverables/{deliverable_id}/review	page_maintenance	action_maintenance_acceptance_review	
GET	/api/maintenance/acceptance-files/{file_id}	page_maintenance		
GET	/api/maintenance/ai-fallback/proposals	page_maintenance		
POST	/api/maintenance/ai-fallback/propose	page_maintenance		
POST	/api/maintenance/ai-fallback/{proposal_id}/accept	page_maintenance		
GET	/api/maintenance/as-of	page_maintenance		
POST	/api/maintenance/bad-returns	page_maintenance	action_maintenance_bad_return_manage	
POST	/api/maintenance/bad-returns/search	page_maintenance		
POST	/api/maintenance/bad-returns/{return_id}/in-transit	page_maintenance	action_maintenance_bad_return_manage	
POST	/api/maintenance/bad-returns/{return_id}/submit	page_maintenance	action_maintenance_bad_return_manage	
POST	/api/maintenance/bad-returns/{return_id}/void	page_maintenance	action_maintenance_bad_return_manage	
POST	/api/maintenance/bad-returns/{return_id}/warehouse-confirm	page_maintenance	action_maintenance_bad_return_manage	
GET	/api/maintenance/board	page_maintenance		
GET	/api/maintenance/board/export	page_maintenance		
GET	/api/maintenance/boss-board/attention			
GET	/api/maintenance/boss-board/health			
GET	/api/maintenance/boss-board/orders/{source_order_id}/lines			
GET	/api/maintenance/boss-board/projects			
POST	/api/maintenance/boss-board/projects/search			
GET	/api/maintenance/boss-board/projects/{project_id}/orders			
GET	/api/maintenance/boss-board/summary			
POST	/api/maintenance/ckd-imports/preview	page_maintenance		data_purchase_cost
GET	/api/maintenance/ckd-imports/{batch_id}	page_maintenance		data_purchase_cost
POST	/api/maintenance/ckd-imports/{batch_id}/apply	page_maintenance		data_purchase_cost
GET	/api/maintenance/collection-milestones/{milestone_id}/evidence	page_maintenance		
POST	/api/maintenance/collection-milestones/{milestone_id}/evidence	page_maintenance		
POST	/api/maintenance/collection-milestones/{milestone_id}/follow-ups	page_maintenance		
POST	/api/maintenance/collection-plan-imports/preview	page_maintenance		
POST	/api/maintenance/collection-plan-imports/{batch_id}/apply	page_maintenance		
GET	/api/maintenance/collection-plan-imports/{batch_id}/binding-options	page_maintenance		
GET	/api/maintenance/collection-plan-imports/{batch_id}/source-file	page_maintenance		
POST	/api/maintenance/collection-reminders/search	page_maintenance		
POST	/api/maintenance/demands/delete-intents	page_maintenance	action_maintenance_demand_delete	
GET	/api/maintenance/demands/delete-intents/{intent_id}	page_maintenance	action_maintenance_demand_delete	
POST	/api/maintenance/demands/delete-intents/{intent_id}/arm	page_maintenance	action_maintenance_demand_delete	
POST	/api/maintenance/demands/delete-intents/{intent_id}/cancel	page_maintenance	action_maintenance_demand_delete	
POST	/api/maintenance/demands/delete-intents/{intent_id}/execute	page_maintenance	action_maintenance_demand_delete	
POST	/api/maintenance/demands/search	page_maintenance		
POST	/api/maintenance/demands/{source_order_id}/restore	page_maintenance	action_maintenance_demand_delete	
POST	/api/maintenance/doc-imports/relink-projects	page_maintenance		data_purchase_cost
GET	/api/maintenance/doc-imports/{batch_id}	page_maintenance		data_purchase_cost
POST	/api/maintenance/doc-imports/{batch_id}/apply	page_maintenance		data_purchase_cost
POST	/api/maintenance/doc-imports/{doc_type}/preview	page_maintenance		data_purchase_cost
GET	/api/maintenance/export	page_maintenance		
GET	/api/maintenance/export-workbook	page_maintenance		
GET	/api/maintenance/export-workbooks	page_maintenance		
POST	/api/maintenance/ledger-imports/preview	page_maintenance		
GET	/api/maintenance/ledger-imports/{batch_id}	page_maintenance		
POST	/api/maintenance/ledger-imports/{batch_id}/apply	page_maintenance		
GET	/api/maintenance/lines	page_maintenance		
GET	/api/maintenance/lines/export	page_maintenance		
GET	/api/maintenance/match-audit	page_maintenance		
POST	/api/maintenance/migration-runs/preview			
POST	/api/maintenance/migration-runs/search			
GET	/api/maintenance/migration-runs/{run_id}			
POST	/api/maintenance/migration-runs/{run_id}/approve			
GET	/api/maintenance/migration-runs/{run_id}/manifest			
GET	/api/maintenance/migration-runs/{run_id}/projects/{project_id}/evidence			
POST	/api/maintenance/migration-runs/{run_id}/reconcile			
GET	/api/maintenance/orders/export	page_maintenance		
GET	/api/maintenance/project-assignments/orders	page_maintenance		
POST	/api/maintenance/project-assignments/orders/assign	page_maintenance	action_maintenance_project_manage	data_profit
POST	/api/maintenance/project-assignments/orders/unassign	page_maintenance	action_maintenance_project_manage	data_profit
POST	/api/maintenance/project-manager-assignments/search	page_maintenance	action_maintenance_project_manage	data_profit
